GEOID,dac_status,nearest_sta_miles,second_nearest_sta_miles,stas_05mi,stas_10mi,stas_20mi,stas_55mi,stations,bg_sta1d,bg_sta2d
060014017001,80-85%,1.1715614201638676,2.513593294924636,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014017002,80-85%,2.1328256134832015,2.717809290349882,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014017003,80-85%,3.1433314502696614,3.7356567691136515,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014018001,85-90%,2.0115569567667837,2.596540633633464,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014018002,85-90%,2.4197778584740077,3.004761535340688,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014022001,85-90%,1.9349903386352736,2.447780718531657,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014022002,85-90%,2.361536926054532,2.7605491668528486,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014022003,85-90%,2.3597502311402843,2.883061889075229,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014024001,75-80%,1.6924768746783,1.7761326678322331,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014024002,75-80%,1.6977744588770094,1.7467954986954697,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014025001,80-85%,1.9370092600660727,2.216702693068239,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014025002,80-85%,2.2034803418049878,2.3188111642721867,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014026001,not DAC status,1.8264242152976828,2.1935290080349943,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014027001,75-80%,1.2932405938183227,1.7645456555919528,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014027002,75-80%,1.5253758455515611,1.7198881598410063,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014028001,not DAC status,1.317357843135742,1.9381010373693865,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014028002,not DAC status,1.0408252275680012,1.856907421262347,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014029001,not DAC status,0.8179032975353412,2.1130545303137627,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
