id,name,address,latitude,longitude,status
15041,Hollywood,"5700 Hollywood Boulevard, Los Angeles, CA 90028",34.10136,-118.314043,Open - Retail
14996,Santa Monica,"1819 Cloverfield Blvd., Santa Monica, CA 90404",34.025237,-118.469573,Open - Retail
14972,Cal State LA,"5151 State University Dr, Los Angeles, CA 90032",34.065956,-118.165565,Open - Legacy Retail
14999,Fairfax-LA,"7751 Beverly Blvd., Los Angeles, CA  90036",34.076438,-118.358684,Open - Retail
15003,Lawndale,"15606 Inglewood Avenue, Lawndale, CA 90260",33.889393,-118.360961,Open - Retail
15042,Playa Del Rey,"8126 Lincoln Boulevard, Los Angeles, CA 90045",33.963207,-118.421598,Open - Retail
15040,Long Beach,"3401 Long Beach Blvd, Long Beach, CA 90807",33.81951,-118.189659,Open - Retail
15005,San Juan Capistrano,"26572 Junipero Serra Road, San Juan Capistrano, CA 92675",33.519859,-117.666836,Open - Retail
15006,West Sacramento,"1515 South River Road, West Sacramento, CA 95691",38.569408,-121.521431,Open - Retail
15029,San Jose,"2101 North First Street, San Jose, CA 95131",37.373278,-121.918801,Open - Retail
15688,Emeryville,"1172 45th St, Emeryville, CA 94608",37.833916,-122.282448,Open - Retail
15004,Diamond Bar,"21865 Copley Dr, Diamond Bar, CA 91765",34.001754,-117.828631,Open - Retail
15488,Citrus Heights,"6141 Greenback Lane, Citrus Heights, CA 95621",38.679614,-121.320767,Open - Retail
15595,Torrance,"2051 W. 190th Street, Torrance, CA 90501",33.858572,-118.315341,Open - Retail
15007,UC Irvine,"19172 Jamboree Rd, Irvine, CA 92612",33.6647,-117.854777,Open - Retail
15022,Campbell,"2855 Winchester Boulevard, Campbell, CA 95008",37.271963,-121.954657,Open - Retail
